Tissue	Spearman_rho_var/mean_dnds_mouse	p-value_var/mean_dnds_mouse	Spearman_rho_var/mean_dn_mouse	p-value_var/mean_dn_mouse	Spearman_rho_var/mean_ds_mouse	p-value_var/mean_ds_mouse	Spearman_rho_var_dnds_mouse	p-value_var_dnds_mouse	Spearman_rho_var_dn_mouse	p-value_var_dn_mouse	Spearman_rho_var_ds_mouse	p-value_rho_var_ds_mouse	Spearman_rho_mean_dnds_mouse	p-value_mean_dnds_mouse	Spearman_rho_mean_dn_mouse	p-value_mean_dn_mouse	Spearman_rho_mean_ds_mouse	p-value_mean_ds_mouse	Spearman_rho_var/mean_dnds_chimp	p-value_var/mean_dnds_chimp	Spearman_rho_var/mean_dn_chimp	p-value_var/mean_dn_chimp	Spearman_rho_var/mean_ds_chimp	p-value_var/mean_ds_chimp	Spearman_rho_var_dnds_chimp	p-value_var_dnds_chimp	Spearman_rho_var_dn_chimp	p-value_var_dn_chimp	Spearman_rho_var_ds_chimp	p-value_rho_var_ds_chimp	Spearman_rho_mean_dnds_chimp	p-value_mean_dnds_chimp	Spearman_rho_mean_dn_chimp	p-value_mean_dn_chimp	Spearman_rho_mean_ds_chimp	p-value_mean_ds_chimp
Breast_Mammary_Tissue	-0.172964582	2.03E-118	-0.175484515	6.86E-122	-0.01742788	0.020682938	-0.263148149	6.42E-278	-0.297258093	0	-0.128580424	4.50E-66	-0.300391439	0	-0.355028551	0	-0.199950169	6.42E-159	-0.163305291	1.82E-91	-0.120966063	6.21E-54	0.041115418	1.62E-07	-0.229999763	2.29E-182	-0.216829845	2.44E-172	-0.025070073	0.001385526	-0.254387337	5.35E-224	-0.264214497	6.33E-258	-0.072754757	1.53E-20
Cells_EBVtransformed_lymphocytes	-0.168109026	9.25E-112	-0.195772018	1.25E-151	-0.099177188	9.86E-40	-0.213687243	9.64E-182	-0.269315065	1.69E-291	-0.184728133	1.55E-135	-0.231080206	4.99E-213	-0.29949168	0	-0.225295008	2.53E-202	-0.153196484	1.54E-80	-0.170722615	2.92E-106	-0.060728739	1.01E-14	-0.193479248	1.27E-128	-0.232777726	4.82E-199	-0.108341537	1.15E-43	-0.204511739	8.55E-144	-0.255141085	4.60E-240	-0.131947967	4.42E-64
Cells_Transformed_fibroblasts	-0.227402877	2.28E-205	-0.266149244	2.38E-283	-0.14506523	1.89E-83	-0.278143755	1.4127231648022e-311	-0.338381702	0	-0.212150429	4.16E-179	-0.304124084	0	-0.375148174	0	-0.249922678	5.28E-250	-0.192577292	4.39E-127	-0.209435526	3.72E-160	-0.065112198	1.05E-16	-0.231900234	1.92E-185	-0.263155807	8.36E-256	-0.099403988	5.32E-37	-0.248720658	6.65E-214	-0.289140032	1.00750431232118e-310	-0.122817152	1.07E-55
Cervix_Ectocervix	-0.216465254	1.27E-181	-0.221868805	6.22E-191	-0.045046736	3.37E-09	-0.283151533	1.97626258336499e-323	-0.317946933	0	-0.138221373	3.68E-76	-0.312347845	0	-0.364194389	0	-0.197514464	4.82E-155	-0.192422952	1.85E-124	-0.161391729	2.94E-93	0.022104625	0.00531027	-0.247265752	2.36E-211	-0.234481235	5.09E-202	-0.024894991	0.001496759	-0.26604952	1.37E-245	-0.269923518	1.57E-269	-0.064733916	1.41E-16
Cervix_Endocervix	-0.170968383	1.79E-112	-0.161848709	7.65E-101	-0.007726969	0.311977015	-0.269559634	4.80E-292	-0.301196854	0	-0.130137684	1.19E-67	-0.311895241	0	-0.366066653	0	-0.203755584	4.46E-165	-0.144949379	1.17E-70	-0.11154123	4.87E-45	0.026304573	0.00092883	-0.228990383	9.61E-181	-0.216593226	5.85E-172	-0.027706282	0.000409295	-0.258513285	1.64E-231	-0.265239718	5.47E-260	-0.07242465	2.28E-20
Colon_Sigmoid	-0.222701118	2.86E-196	-0.22743249	7.80E-205	-0.043542365	7.80E-09	-0.303672732	0	-0.342943956	0	-0.157230026	2.90E-98	-0.334095229	0	-0.394146352	0	-0.22373349	1.75E-199	-0.195435252	1.41E-130	-0.155972856	1.31E-88	0.019462767	0.01331391	-0.255234359	1.58E-225	-0.244237485	1.55E-219	-0.039904026	3.56E-07	-0.272610146	3.17E-258	-0.284446607	2.34E-300	-0.083457681	1.54E-26
Colon_Transverse	-0.193030657	2.21E-147	-0.201223968	3.01E-160	-0.039291543	1.84E-07	-0.259474657	5.32E-270	-0.291315284	0	-0.12170546	2.45E-59	-0.294417727	0	-0.344943557	0	-0.186424163	4.83E-138	-0.181047351	3.16E-112	-0.146473668	2.08E-78	0.021117791	0.007178543	-0.231830013	2.50E-185	-0.217110095	8.62E-173	-0.024665919	0.001654722	-0.255175612	2.01E-225	-0.260502499	1.57E-250	-0.067183105	9.70E-18
Esophagus_Gastroesophageal_Junction	-0.24783	6.85E-244	-0.255780876	3.39E-260	-0.062379717	1.32E-16	-0.31018871	0	-0.350997503	0	-0.164354659	2.58E-107	-0.330586664	0	-0.390044165	0	-0.221987012	2.46E-196	-0.211858125	1.35E-153	-0.175682222	2.92E-112	0.017106618	0.029593208	-0.259583323	1.76E-233	-0.250257618	9.60E-231	-0.038939976	6.77E-07	-0.269731014	1.23E-252	-0.281801572	1.33E-294	-0.080726049	6.24E-25
Esophagus_Mucosa	-0.181286129	4.83E-130	-0.181866662	7.06E-131	-0.023176573	0.002093943	-0.249395672	6.32E-249	-0.279680074	3.79645240823139e-315	-0.120327658	4.94E-58	-0.284812277	0	-0.333961858	0	-0.183596216	7.10E-134	-0.183062293	8.66E-115	-0.146645415	1.20E-78	0.026783883	0.0006466	-0.232643028	1.19E-186	-0.219654438	6.45E-177	-0.02634703	0.000777794	-0.25232682	2.69E-220	-0.258687577	5.84E-247	-0.065387486	6.96E-17
Esophagus_Muscularis	-0.245696846	1.37E-240	-0.25207552	1.49E-253	-0.057400436	2.43E-14	-0.309641661	0	-0.349781809	0	-0.161528502	1.13E-103	-0.330747406	0	-0.390250012	0	-0.221418337	2.57E-195	-0.20622068	7.72E-146	-0.167483453	2.43E-102	0.025400631	0.001216254	-0.256796969	2.28E-228	-0.247006126	1.19E-224	-0.036779642	2.70E-06	-0.269582249	2.38E-252	-0.281865709	9.68E-295	-0.08079201	5.71E-25
Fallopian_Tube	-0.126998806	1.47E-62	-0.110735884	6.64E-48	0.029531004	0.000110293	-0.23676917	7.51E-224	-0.263917503	1.36E-279	-0.106659285	6.53E-46	-0.299425563	0	-0.351264282	0	-0.194985286	4.50E-151	-0.10425236	3.02E-37	-0.072964455	3.60E-20	0.035693211	6.94E-06	-0.197180756	1.30E-133	-0.188006488	2.69E-129	-0.023033541	0.003305278	-0.247056154	5.49E-211	-0.256034884	8.61E-242	-0.070957199	1.30E-19
Heart_Atrial_Appendage	-0.229981816	1.79E-209	-0.245780469	7.08E-240	-0.072679415	5.28E-22	-0.293849472	0	-0.336049411	0	-0.159959538	1.11E-101	-0.321415039	0	-0.377723586	0	-0.208380752	9.91E-173	-0.20527051	3.31E-144	-0.179993088	7.10E-118	0.004134036	0.599029045	-0.24738669	1.45E-211	-0.243890031	6.74E-219	-0.043662229	2.54E-08	-0.261737368	1.78E-237	-0.272416185	1.09E-274	-0.074109005	2.96E-21
Heart_Left_Ventricle	-0.248112482	1.18E-244	-0.270926828	4.03E-293	-0.105208894	2.02E-44	-0.296500104	0	-0.340740512	0	-0.170783821	7.64E-116	-0.315291051	0	-0.371284472	0	-0.207190107	9.64E-171	-0.210507632	1.13E-151	-0.199134104	2.21E-144	-0.023901656	0.00236108	-0.247721635	3.77E-212	-0.249551358	2.06E-229	-0.054886283	2.47E-12	-0.257637959	6.63E-230	-0.270098913	6.83E-270	-0.076518249	1.48E-22
Kidney_Cortex	-0.195045252	1.44E-148	-0.200759268	1.84E-157	-0.04205545	2.92E-08	-0.257577834	5.82E-266	-0.289182554	0	-0.124825087	2.40E-62	-0.285400067	0	-0.331014897	0	-0.17353852	1.33E-119	-0.173816372	1.80E-102	-0.137996649	4.67E-69	0.025547706	0.001209728	-0.224752741	5.10E-174	-0.207047299	5.50E-157	-0.016529781	0.035017069	-0.242307957	8.66E-203	-0.2414696	1.74E-214	-0.052179253	2.76E-11
