5sd	10sd	15sd	20sd	25sd	30sd	35sd	40sd
ENSG00000002586	0.111073433167715	0.077121253152882	0.054022043566805	0.0443335722496285	0.0312696571724025	0.0270406051850632	0.0190738547969103	0.00592277670972108
ENSG00000002587	0.167173054679204	0.133436931885676	0.104765799327737	0.096266918164742	0.0919359077454511	0.0762737585944876	0.0662561300050714	0.0165706861734491
ENSG00000002726	0.128653033876418	0.0713112284455055	0.0499372955607508	0.0412356748222155	0.0247948549889491	0.0147638029787176	0.0067832717098354	0.00480142989522034
ENSG00000002745	0.220206907554195	0.118844457854593	0.0865736158939922	0.0514250369312617	0.0385720538990647	0.0223861480477846	0.0112943453255858	0.00395646253438882
ENSG00000002746	0.152660338194488	0.101590960363017	0.0610845846453344	0.0474727065723448	0.0542104496117878	0.0352867742483845	0.0336638139336779	0.00761933108160248
ENSG00000002822	0.168196797340036	0.14865834256421	0.127397164245476	0.0973979497767521	0.0657555385846857	0.0552627167150359	0.0399087012952216	0.00957509862936783
ENSG00000002834	0.147180818518948	0.100288373679982	0.0775663542807121	0.0655757403098134	0.0451651942929841	0.0305171508421336	0.0123696032613286	0.00550881514935251
ENSG00000002919	0.185294650630188	0.202100339755662	0.187183315173642	0.170767489065434	0.132015642672112	0.114456261624604	0.0899622978945745	0.001824641128942
ENSG00000002933	0.176286767824286	0.136287357957339	0.101858339151688	0.0897747368840642	0.0615449569489152	0.0608142214646075	0.042678621319812	0.011752989361303
ENSG00000003056	0.147148200088718	0.150376466322957	0.149789128300969	0.147716513887187	0.12901190569306	0.120413054153421	0.105109572970041	0.00222331430107325
ENSG00000003137	0.149685500033078	0.0841641802947343	0.0509435598223375	0.0411092170655486	0.0295566431138838	0.0195093331169284	0.0135691960815533	0.00531834684877442
ENSG00000003147	0.151017506676947	0.123077606233654	0.104773147962574	0.0861520999277495	0.0589306701041516	0.0445767234840536	0.0301642193128505	0.0101466129997581
ENSG00000003249	0.179180034744562	0.100828008009201	0.0876845177731122	0.0734526300927319	0.0676685261617069	0.0543331962187995	0.0502735880257591	0.0109866253373824
ENSG00000003393	0.114898312060765	0.100269878404655	0.0773498245551516	0.0583124309992144	0.0462218537887008	0.0263808844746933	0.0184261913515092	0.00371157617035578
ENSG00000003400	0.162980595063948	0.118528027490228	0.0948057733451614	0.0829009178109139	0.0644395603983028	0.061139726413912	0.040906044170639	0.0219897967063227
ENSG00000003402	0.145075611220039	0.105361526353887	0.0863733232883566	0.0648625063569474	0.0635754668712439	0.0417295843034685	0.0191319404377949	0.00415904572696231
ENSG00000003436	0.144134819706443	0.118117062131429	0.105899336561823	0.0931805540529578	0.0729294537480884	0.0658201475399055	0.0435228909822557	0.0170863245138291
ENSG00000003509	0.187168993442137	0.214178208819575	0.215479614594356	0.20188859216324	0.178635170724933	0.159368031493492	0.146248758060833	0.064907480168997
ENSG00000003756	0.109402107275638	0.0677174907911663	0.0547709979259672	0.0494621582496052	0.0422186149511334	0.0333419933756899	0.0267108638928743	0.00799474983287584
ENSG00000003987	0.192125151591114	0.153650581690151	0.114947866758747	0.0820749439890769	0.0587939121563389	0.0236324866105167	0.0154911563686504	0.0031544023809215
ENSG00000003989	0.168563258060743	0.102166996379645	0.0806681049468129	0.0619519874752349	0.0426445335027517	0.0347149622570525	0.0211966821873935	0.00493813235121693
ENSG00000004059	0.134212564999812	0.109211009131729	0.0986946567091069	0.0669463334522743	0.0323814836488858	0.0162575310015589	0.0141513511881883	0.00340971612514974
